year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2012;Cyprus;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     15474000,00;      3126000,00;            4,95
2002;Cyprus;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;         5000,00;         1000,00;            5,00
2002;Belgium;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;       658000,00;        75000,00;            8,77
2012;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        38000,00;        19000,00;            2,00
2012;Germany;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      9828000,00;      1660000,00;            5,92
2012;Germany;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      1672000,00;       628000,00;            2,66
2012;Germany;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     12430000,00;      5521000,00;            2,25
2012;Germany;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       300000,00;        49000,00;            6,12
2012;Germany;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      3176000,00;       891000,00;            3,56
2002;Czech Republic;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       155000,00;        60000,00;            2,58
2016;Germany;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     12881074,84;      5352200,00;            2,41
2016;Germany;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      7593830,00;      1602900,00;            4,74
2002;Croatia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2505000,00;       911000,00;            2,75
2002;Croatia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      6555000,00;      2409000,00;            2,72
2002;Croatia;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;      1523000,00;      2400000,00;            0,63
2002;Ireland;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2016;Greece;Crustaceans;Crab;PS5 Unspecified;PR4 Unspecified;        20890,00;        29400,00;            0,71
2016;Greece;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;         1570,00;          500,00;            3,14
2001;Sweden;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Slovenia;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;       442000,00;        59000,00;            7,49
2001;Slovenia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       523000,00;       230000,00;            2,27
2006;Portugal;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;       212000,00;        12000,00;           17,67
2002;Italy;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     70025000,00;     33940000,00;            2,06
2000;Austria;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;        34000,00;         1000,00;           34,00
2000;Belgium;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      3053000,00;       940000,00;            3,25
2016;Spain;Other marine fish;Smelt;PS5 Unspecified;PR4 Unspecified;            0,00;           40,00;
2016;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    117999790,00;    215855360,00;            0,55
2016;Spain;Flatfish;Sole, other;PS5 Unspecified;PR4 Unspecified;      8161050,00;       747300,00;           10,92
2000;Spain;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Spain;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;       979000,00;       226000,00;            4,33
2000;Denmark;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;        13000,00;         4000,00;            3,25
2000;Denmark;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Denmark;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Denmark;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;    132950000,00;     40931000,00;            3,25
2016;Spain;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     69382050,00;     12396330,00;            5,60
2012;Denmark;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;       110000,00;
2000;Greece;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;       134000,00;        17000,00;            7,88
2000;Spain;Crustaceans;Shrimp, miscellaneous;PS5 Unspecified;PR4 Unspecified;       357000,00;       110000,00;            3,25
2000;Spain;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Spain;Bivalves and other molluscs and aquatic invertebrates;Scallop;PS5 Unspecified;PR4 Unspecified;        54000,00;         9000,00;            6,00
2000;Spain;Flatfish;Sole, common;PS5 Unspecified;PR4 Unspecified;       127000,00;        13000,00;            9,77
2000;Finland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       349000,00;        79000,00;            4,42
2012;Estonia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       115020,00;        38020,00;            3,03
